Sample_ID,Environment
DRR480202,Sewage
DRR480203,Sewage
DRR480204,Sewage
DRR480205,Sewage
DRR480206,Sewage

SRR27587513,Drain
SRR27587514,Drain
SRR27587515,Drain
SRR27587516,Drain
SRR27587517,Drain
SRR27587518,Drain
SRR27587519,Drain
SRR27587523,Drain
SRR27587526,Drain
SRR27587527,Drain

SRR8865572,CRC
SRR8865573,CRC
SRR8865574,CRC
SRR8865575,CRC
SRR8865576,CRC
SRR8865577,CRC
SRR8865578,CRC
SRR8865579,CRC
SRR8865580,CRC
SRR8865581,CRC

SRR9108944,Gut
SRR9108951,Gut
SRR9108964,Gut
SRR9108970,Gut
SRR9108971,Gut
